Taxon,redlistCategory,Resolution,Methods,Year,Pearson's r
Amphibians,All species,0.5,Forward,1500,0.501
Amphibians,All species,0.5,Forward,1501,0.501
Amphibians,All species,0.5,Forward,1502,0.501
Amphibians,All species,0.5,Forward,1503,0.501
Amphibians,All species,0.5,Forward,1504,0.501
Amphibians,All species,0.5,Forward,1505,0.501
Amphibians,All species,0.5,Forward,1506,0.501
Amphibians,All species,0.5,Forward,1507,0.501
Amphibians,All species,0.5,Forward,1508,0.501
Amphibians,All species,0.5,Forward,1509,0.501
Amphibians,All species,0.5,Forward,1510,0.501
Amphibians,All species,0.5,Forward,1511,0.501
Amphibians,All species,0.5,Forward,1512,0.501
Amphibians,All species,0.5,Forward,1513,0.501
Amphibians,All species,0.5,Forward,1514,0.501
Amphibians,All species,0.5,Forward,1515,0.501
Amphibians,All species,0.5,Forward,1516,0.501
Amphibians,All species,0.5,Forward,1517,0.501
Amphibians,All species,0.5,Forward,1518,0.501
Amphibians,All species,0.5,Forward,1519,0.501
Amphibians,All species,0.5,Forward,1520,0.501
Amphibians,All species,0.5,Forward,1521,0.501
Amphibians,All species,0.5,Forward,1522,0.501
Amphibians,All species,0.5,Forward,1523,0.501
Amphibians,All species,0.5,Forward,1524,0.501
Amphibians,All species,0.5,Forward,1525,0.501
Amphibians,All species,0.5,Forward,1526,0.502
Amphibians,All species,0.5,Forward,1527,0.502
Amphibians,All species,0.5,Forward,1528,0.502
Amphibians,All species,0.5,Forward,1529,0.502
Amphibians,All species,0.5,Forward,1530,0.502
Amphibians,All species,0.5,Forward,1531,0.502
Amphibians,All species,0.5,Forward,1532,0.502
Amphibians,All species,0.5,Forward,1533,0.502
Amphibians,All species,0.5,Forward,1534,0.502
Amphibians,All species,0.5,Forward,1535,0.502
Amphibians,All species,0.5,Forward,1536,0.502
Amphibians,All species,0.5,Forward,1537,0.502
Amphibians,All species,0.5,Forward,1538,0.502
Amphibians,All species,0.5,Forward,1539,0.502
Amphibians,All species,0.5,Forward,1540,0.502
Amphibians,All species,0.5,Forward,1541,0.502
Amphibians,All species,0.5,Forward,1542,0.502
Amphibians,All species,0.5,Forward,1543,0.502
Amphibians,All species,0.5,Forward,1544,0.502
Amphibians,All species,0.5,Forward,1545,0.502
Amphibians,All species,0.5,Forward,1546,0.502
Amphibians,All species,0.5,Forward,1547,0.502
Amphibians,All species,0.5,Forward,1548,0.502
Amphibians,All species,0.5,Forward,1549,0.502
Amphibians,All species,0.5,Forward,1550,0.502
Amphibians,All species,0.5,Forward,1551,0.502
Amphibians,All species,0.5,Forward,1552,0.502
Amphibians,All species,0.5,Forward,1553,0.502
Amphibians,All species,0.5,Forward,1554,0.502
Amphibians,All species,0.5,Forward,1555,0.502
Amphibians,All species,0.5,Forward,1556,0.502
Amphibians,All species,0.5,Forward,1557,0.502
Amphibians,All species,0.5,Forward,1558,0.502
Amphibians,All species,0.5,Forward,1559,0.502
Amphibians,All species,0.5,Forward,1560,0.502
Amphibians,All species,0.5,Forward,1561,0.502
Amphibians,All species,0.5,Forward,1562,0.502
Amphibians,All species,0.5,Forward,1563,0.502
Amphibians,All species,0.5,Forward,1564,0.502
Amphibians,All species,0.5,Forward,1565,0.502
Amphibians,All species,0.5,Forward,1566,0.502
Amphibians,All species,0.5,Forward,1567,0.502
Amphibians,All species,0.5,Forward,1568,0.503
Amphibians,All species,0.5,Forward,1569,0.503
Amphibians,All species,0.5,Forward,1570,0.503
Amphibians,All species,0.5,Forward,1571,0.503
Amphibians,All species,0.5,Forward,1572,0.503
Amphibians,All species,0.5,Forward,1573,0.503
Amphibians,All species,0.5,Forward,1574,0.503
Amphibians,All species,0.5,Forward,1575,0.503
Amphibians,All species,0.5,Forward,1576,0.503
Amphibians,All species,0.5,Forward,1577,0.503
Amphibians,All species,0.5,Forward,1578,0.503
Amphibians,All species,0.5,Forward,1579,0.503
Amphibians,All species,0.5,Forward,1580,0.503
Amphibians,All species,0.5,Forward,1581,0.503
Amphibians,All species,0.5,Forward,1582,0.503
Amphibians,All species,0.5,Forward,1583,0.503
