Taxon,redlistCategory,Resolution,Methods,Year,Pearson's r,MTCO2e
Amphibians,All species,0.5,Forward,1850,0.506,1671.58
Amphibians,All species,0.5,Forward,1851,0.506,1685.14
Amphibians,All species,0.5,Forward,1852,0.506,1712.52
Amphibians,All species,0.5,Forward,1853,0.506,1744.62
Amphibians,All species,0.5,Forward,1854,0.506,1838.26
Amphibians,All species,0.5,Forward,1855,0.506,1855.61
Amphibians,All species,0.5,Forward,1856,0.506,1902.93
Amphibians,All species,0.5,Forward,1857,0.506,1918.21
Amphibians,All species,0.5,Forward,1858,0.506,1931.72
Amphibians,All species,0.5,Forward,1859,0.506,1977.01
Amphibians,All species,0.5,Forward,1860,0.505,2049.92
Amphibians,All species,0.5,Forward,1861,0.506,2096.42
Amphibians,All species,0.5,Forward,1862,0.506,2115.8
Amphibians,All species,0.5,Forward,1863,0.506,2174.59
Amphibians,All species,0.5,Forward,1864,0.506,2248.07
Amphibians,All species,0.5,Forward,1865,0.506,2309.96
Amphibians,All species,0.5,Forward,1866,0.506,2347.4
Amphibians,All species,0.5,Forward,1867,0.506,2426.49
Amphibians,All species,0.5,Forward,1868,0.506,2461.67
Amphibians,All species,0.5,Forward,1869,0.506,2535.26
Amphibians,All species,0.5,Forward,1870,0.506,2568.52
Amphibians,All species,0.5,Forward,1871,0.506,2651.61
Amphibians,All species,0.5,Forward,1872,0.506,2805.06
Amphibians,All species,0.5,Forward,1873,0.506,2910.03
Amphibians,All species,0.5,Forward,1874,0.506,2835.53
Amphibians,All species,0.5,Forward,1875,0.506,2975.62
Amphibians,All species,0.5,Forward,1876,0.505,3016
Amphibians,All species,0.5,Forward,1877,0.505,3067.16
Amphibians,All species,0.5,Forward,1878,0.505,3090.95
Amphibians,All species,0.5,Forward,1879,0.505,3221.87
Amphibians,All species,0.5,Forward,1880,0.505,3466.18
Amphibians,All species,0.5,Forward,1881,0.505,3535.83
Amphibians,All species,0.5,Forward,1882,0.505,3664.01
Amphibians,All species,0.5,Forward,1883,0.505,3812.37
Amphibians,All species,0.5,Forward,1884,0.505,3847.57
Amphibians,All species,0.5,Forward,1885,0.505,3877.67
Amphibians,All species,0.5,Forward,1886,0.504,3925.95
Amphibians,All species,0.5,Forward,1887,0.504,4052.51
Amphibians,All species,0.5,Forward,1888,0.504,4324.25
Amphibians,All species,0.5,Forward,1889,0.504,4339.29
Amphibians,All species,0.5,Forward,1890,0.504,4601.05
Amphibians,All species,0.5,Forward,1891,0.504,4752.98
Amphibians,All species,0.5,Forward,1892,0.504,4791.43
Amphibians,All species,0.5,Forward,1893,0.504,4771.07
Amphibians,All species,0.5,Forward,1894,0.504,4897.12
Amphibians,All species,0.5,Forward,1895,0.504,5102.3
Amphibians,All species,0.5,Forward,1896,0.504,5225.58
Amphibians,All species,0.5,Forward,1897,0.504,5406.76
Amphibians,All species,0.5,Forward,1898,0.504,5618.41
Amphibians,All species,0.5,Forward,1899,0.504,5990.29
Amphibians,All species,0.5,Forward,1900,0.504,6242.25
Amphibians,All species,0.5,Forward,1901,0.504,6398.4
Amphibians,All species,0.5,Forward,1902,0.504,6525.69
Amphibians,All species,0.5,Forward,1903,0.504,6960.58
Amphibians,All species,0.5,Forward,1904,0.504,7034.49
Amphibians,All species,0.5,Forward,1905,0.504,7371.01
Amphibians,All species,0.5,Forward,1906,0.504,7678.75
Amphibians,All species,0.5,Forward,1907,0.504,8452.3
Amphibians,All species,0.5,Forward,1908,0.504,8234.47
Amphibians,All species,0.5,Forward,1909,0.504,8487.3
Amphibians,All species,0.5,Forward,1910,0.504,8827.21
Amphibians,All species,0.5,Forward,1911,0.504,8957.82
Amphibians,All species,0.5,Forward,1912,0.503,9309.66
Amphibians,All species,0.5,Forward,1913,0.503,9927.85
Amphibians,All species,0.5,Forward,1914,0.503,9229.24
Amphibians,All species,0.5,Forward,1915,0.503,9142.34
Amphibians,All species,0.5,Forward,1916,0.503,9685.77
Amphibians,All species,0.5,Forward,1917,0.502,9993.44
Amphibians,All species,0.5,Forward,1918,0.502,9896.8
Amphibians,All species,0.5,Forward,1919,0.502,8905.55
Amphibians,All species,0.5,Forward,1920,0.502,9993.64
Amphibians,All species,0.5,Forward,1921,0.501,9036.88
Amphibians,All species,0.5,Forward,1922,0.501,9440.31
Amphibians,All species,0.5,Forward,1923,0.501,10458.99
Amphibians,All species,0.5,Forward,1924,0.501,10516.44
Amphibians,All species,0.5,Forward,1925,0.501,10671.69
Amphibians,All species,0.5,Forward,1926,0.501,10557.28
Amphibians,All species,0.5,Forward,1927,0.501,11402.16
Amphibians,All species,0.5,Forward,1928,0.5,11401.07
Amphibians,All species,0.5,Forward,1929,0.5,12110.35
Amphibians,All species,0.5,Forward,1930,0.5,11421.35
Amphibians,All species,0.5,Forward,1931,0.5,10502.01
Amphibians,All species,0.5,Forward,1932,0.499,9763.69
Amphibians,All species,0.5,Forward,1933,0.499,10175.85
Amphibians,All species,0.5,Forward,1934,0.499,10875.6
Amphibians,All species,0.5,Forward,1935,0.498,11323.5
Amphibians,All species,0.5,Forward,1936,0.498,12197.97
Amphibians,All species,0.5,Forward,1937,0.498,12904.77
Amphibians,All species,0.5,Forward,1938,0.497,12355.64
Amphibians,All species,0.5,Forward,1939,0.497,12957.99
Amphibians,All species,0.5,Forward,1940,0.496,13783.93
Amphibians,All species,0.5,Forward,1941,0.496,14098.08
Amphibians,All species,0.5,Forward,1942,0.495,14192.13
Amphibians,All species,0.5,Forward,1943,0.495,14682.31
Amphibians,All species,0.5,Forward,1944,0.494,14690.47
Amphibians,All species,0.5,Forward,1945,0.494,13012.78
Amphibians,All species,0.5,Forward,1946,0.493,14143.72
Amphibians,All species,0.5,Forward,1947,0.493,15465.85
Amphibians,All species,0.5,Forward,1948,0.492,16207.23
Amphibians,All species,0.5,Forward,1949,0.491,15916.8
Amphibians,All species,0.5,Forward,1950,0.491,16890.93
Amphibians,All species,0.5,Forward,1951,0.49,17999.91
Amphibians,All species,0.5,Forward,1952,0.489,18289.06
Amphibians,All species,0.5,Forward,1953,0.489,18807.37
Amphibians,All species,0.5,Forward,1954,0.488,19294.46
Amphibians,All species,0.5,Forward,1955,0.487,20897.93
Amphibians,All species,0.5,Forward,1956,0.486,22089.56
Amphibians,All species,0.5,Forward,1957,0.485,22826.03
Amphibians,All species,0.5,Forward,1958,0.484,23548.55
Amphibians,All species,0.5,Forward,1959,0.484,24752.49
Amphibians,All species,0.5,Forward,1960,0.483,25988.11
Amphibians,All species,0.5,Forward,1961,0.482,26188.78
Amphibians,All species,0.5,Forward,1962,0.481,27104.02
Amphibians,All species,0.5,Forward,1963,0.48,28523.2
Amphibians,All species,0.5,Forward,1964,0.48,29803.1
Amphibians,All species,0.5,Forward,1965,0.479,31127.83
Amphibians,All species,0.5,Forward,1966,0.478,32601.15
Amphibians,All species,0.5,Forward,1967,0.477,33451.89
Amphibians,All species,0.5,Forward,1968,0.477,35010.35
Amphibians,All species,0.5,Forward,1969,0.476,37112.04
Amphibians,All species,0.5,Forward,1970,0.475,39614.23
Amphibians,All species,0.5,Forward,1971,0.474,40530.42
Amphibians,All species,0.5,Forward,1972,0.474,42211.48
Amphibians,All species,0.5,Forward,1973,0.473,44280.37
Amphibians,All species,0.5,Forward,1974,0.473,44121.82
Amphibians,All species,0.5,Forward,1975,0.472,44050.01
Amphibians,All species,0.5,Forward,1976,0.471,46057.62
Amphibians,All species,0.5,Forward,1977,0.471,47041.32
Amphibians,All species,0.5,Forward,1978,0.47,48596.89
Amphibians,All species,0.5,Forward,1979,0.47,49858.01
Amphibians,All species,0.5,Forward,1980,0.469,49454.78
Amphibians,All species,0.5,Forward,1981,0.468,48207.63
Amphibians,All species,0.5,Forward,1982,0.468,47704.35
Amphibians,All species,0.5,Forward,1983,0.467,48048.05
Amphibians,All species,0.5,Forward,1984,0.467,49506.89
Amphibians,All species,0.5,Forward,1985,0.466,50883.29
Amphibians,All species,0.5,Forward,1986,0.465,51424.55
Amphibians,All species,0.5,Forward,1987,0.465,52670.11
Amphibians,All species,0.5,Forward,1988,0.464,54519.88
Amphibians,All species,0.5,Forward,1989,0.463,55424.76
Amphibians,All species,0.5,Forward,1990,0.462,54478.18
Amphibians,All species,0.5,Forward,1991,0.462,55314.77
Amphibians,All species,0.5,Forward,1992,0.462,53864.92
Amphibians,All species,0.5,Backward,1850,0.466,1671.58
Amphibians,All species,0.5,Backward,1851,0.466,1685.14
Amphibians,All species,0.5,Backward,1852,0.466,1712.52
Amphibians,All species,0.5,Backward,1853,0.465,1744.62
Amphibians,All species,0.5,Backward,1854,0.465,1838.26
Amphibians,All species,0.5,Backward,1855,0.465,1855.61
Amphibians,All species,0.5,Backward,1856,0.465,1902.93
Amphibians,All species,0.5,Backward,1857,0.465,1918.21
Amphibians,All species,0.5,Backward,1858,0.465,1931.72
Amphibians,All species,0.5,Backward,1859,0.464,1977.01
Amphibians,All species,0.5,Backward,1860,0.464,2049.92
Amphibians,All species,0.5,Backward,1861,0.464,2096.42
Amphibians,All species,0.5,Backward,1862,0.464,2115.8
Amphibians,All species,0.5,Backward,1863,0.464,2174.59
Amphibians,All species,0.5,Backward,1864,0.464,2248.07
Amphibians,All species,0.5,Backward,1865,0.464,2309.96
